monthyear,Count
2013-10,241
2013-11,227
2013-12,278
2014-01,159
2014-02,97
2014-03,86
2014-04,105
2014-05,148
2014-06,301
2014-07,459
2014-08,329
2014-09,228
2014-10,227
2014-11,191
2014-12,218
2015-01,138
2015-02,103
2015-03,99
2015-04,73
2015-05,176
2015-06,316
2015-07,513
2015-08,329
2015-09,271
2015-10,241
2015-11,321
2015-12,293
2016-01,234
2016-02,143
2016-03,128
2016-04,98
2016-05,179
2016-06,381
2016-07,498
2016-08,310
2016-09,294
2016-10,229
2016-11,308
2016-12,309
2017-01,250
2017-02,177
2017-03,110
2017-04,131
2017-05,243
2017-06,375
2017-07,440
2017-08,422
2017-09,305
2017-10,282
2017-11,258
2017-12,40
