Breed,Count
Domestic Shorthair Mix,22692
Pit Bull Mix,5951
Chihuahua Shorthair Mix,4570
Labrador Retriever Mix,4462
Domestic Medium Hair Mix,2246
German Shepherd Mix,1829
Bat Mix,1265
Domestic Longhair Mix,1204
Australian Cattle Dog Mix,1030
Siamese Mix,980
Bat,789
Dachshund Mix,782
Boxer Mix,641
Border Collie Mix,626
Miniature Poodle Mix,624
Catahoula Mix,459
Raccoon Mix,452
Rat Terrier Mix,440
Australian Shepherd Mix,435
Yorkshire Terrier Mix,414
Siberian Husky Mix,403
Jack Russell Terrier Mix,403
Miniature Schnauzer Mix,380
Domestic Shorthair,377
Beagle Mix,368
Chihuahua Longhair Mix,345
Staffordshire Mix,339
Great Pyrenees Mix,326
Cairn Terrier Mix,320
Pointer Mix,312
Rottweiler Mix,308
American Bulldog Mix,301
Rabbit Sh Mix,293
Shih Tzu Mix,269
Black Mouth Cur Mix,242
Chihuahua Shorthair/Dachshund,241
Anatol Shepherd Mix,238
Australian Kelpie Mix,237
Pit Bull,233
Plott Hound Mix,228
Raccoon,227
American Staffordshire Terrier Mix,217
Labrador Retriever,216
American Shorthair Mix,213
German Shepherd,211
Labrador Retriever/Pit Bull,206
Chihuahua Shorthair,200
Dachshund/Chihuahua Shorthair,173
Opossum Mix,169
American Pit Bull Terrier Mix,159
German Shepherd/Labrador Retriever,155
Golden Retriever Mix,152
Miniature Pinscher Mix,151
Queensland Heeler Mix,147
Maltese Mix,146
Snowshoe Mix,143
Chow Chow Mix,142
Labrador Retriever/German Shepherd,133
Domestic Medium Hair,127
Basset Hound Mix,123
Pug Mix,119
Doberman Pinsch Mix,118
Pomeranian Mix,115
Border Terrier Mix,114
Blue Lacy Mix,110
Shih Tzu,110
Chicken Mix,110
Siberian Husky,105
Cardigan Welsh Corgi Mix,105
Lhasa Apso Mix,102
Opossum,102
Toy Poodle Mix,101
Rottweiler,101
Cocker Spaniel Mix,99
Pit Bull/Labrador Retriever,99
Maine Coon Mix,98
Guinea Pig Mix,98
Dachshund,97
Boston Terrier Mix,94
Manchester Terrier Mix,92
Mastiff Mix,88
Chinese Sharpei Mix,87
Dachshund Longhair Mix,87
Boxer,86
Dachshund Wirehair Mix,84
Australian Cattle Dog,83
Skunk Mix,79
Manx Mix,79
Great Dane Mix,78
Collie Smooth Mix,78
Bull Terrier Mix,75
Rhod Ridgeback Mix,75
Labrador Retriever/Border Collie,75
Miniature Schnauzer/Miniature Poodle,74
Flat Coat Retriever Mix,73
Beagle,72
Labrador Retriever/Australian Cattle Dog,72
Carolina Dog Mix,70
Pekingese Mix,70
English Bulldog Mix,69
Border Collie/Labrador Retriever,69
Black/Tan Hound Mix,69
Squirrel Mix,68
Redbone Hound Mix,64
Russian Blue Mix,62
Chihuahua Shorthair/Rat Terrier,60
Norfolk Terrier Mix,60
Australian Cattle Dog/Labrador Retriever,59
Chihuahua Shorthair/Jack Russell Terrier,59
Siamese,58
Pit Bull/Boxer,54
Bichon Frise Mix,53
Maltese/Miniature Poodle,53
Miniature Poodle,52
Miniature Schnauzer,52
Doberman Pinsch,50
Pembroke Welsh Corgi Mix,50
Harrier Mix,49
Whippet Mix,49
Chihuahua Shorthair/Pug,49
Belgian Malinois Mix,48
Great Pyrenees,48
Weimaraner Mix,48
Labrador Retriever/Great Pyrenees,48
Rat Terrier/Chihuahua Shorthair,48
Guinea Pig,47
Fox Mix,47
Labrador Retriever/Boxer,47
Alaskan Husky Mix,46
Standard Schnauzer Mix,46
Cocker Spaniel,46
Jack Russell Terrier,46
Boxer/Pit Bull,45
Parson Russell Terrier Mix,45
Domestic Longhair,44
Wire Hair Fox Terrier Mix,44
Soft Coated Wheaten Terrier Mix,44
Shetland Sheepdog Mix,43
Pug,43
Basenji Mix,43
Yorkshire Terrier,43
Australian Shepherd,43
Labrador Retriever/Beagle,43
Rat Mix,41
Border Collie,41
Labrador Retriever/Pointer,41
Skunk,41
Norwich Terrier Mix,40
German Shorthair Pointer Mix,40
Dalmatian Mix,40
West Highland Mix,39
Basset Hound,39
Labrador Retriever/Chow Chow,38
Bulldog Mix,38
Boxer/Labrador Retriever,38
Jack Russell Terrier/Chihuahua Shorthair,37
Shiba Inu Mix,37
Maltese,37
Akita Mix,37
English Bulldog,36
Squirrel,36
Bruss Griffon Mix,36
Vizsla Mix,35
Pharaoh Hound Mix,35
Pug/Chihuahua Shorthair,34
Boston Terrier,34
Rat Terrier,33
Himalayan Mix,32
Labrador Retriever/Australian Shepherd,32
Labrador Retriever/Rottweiler,32
Miniature Poodle/Miniature Schnauzer,31
Pointer/Labrador Retriever,31
Papillon Mix,31
Rabbit Sh,31
Chihuahua Shorthair/Cardigan Welsh Corgi,30
Smooth Fox Terrier Mix,29
Siberian Husky/German Shepherd,29
Pug/Beagle,29
Collie Rough Mix,29
Hamster Mix,29
Great Pyrenees/Labrador Retriever,28
Miniature Pinscher,27
Havanese Mix,27
Golden Retriever,27
German Shepherd/Chow Chow,27
Pit Bull/Catahoula,27
Catahoula,27
Labrador Retriever/Plott Hound,27
Pekingese,26
Pit Bull/Australian Cattle Dog,26
Bernese Mountain Dog Mix,26
Labrador Retriever/Catahoula,26
American Staffordshire Terrier,25
Pomeranian,25
English Pointer Mix,25
Border Collie/German Shepherd,25
Dutch Shepherd Mix,25
