Breed,Count
Domestic Shorthair Mix,9565
Pit Bull Mix,2181
Labrador Retriever Mix,2153
Chihuahua Shorthair Mix,2139
Domestic Medium Hair Mix,1009
German Shepherd Mix,863
Australian Cattle Dog Mix,572
Domestic Longhair Mix,567
Siamese Mix,452
Dachshund Mix,382
Border Collie Mix,326
Boxer Mix,288
Miniature Poodle Mix,264
Catahoula Mix,240
Australian Shepherd Mix,213
Jack Russell Terrier Mix,200
Rat Terrier Mix,193
Pointer Mix,185
Cairn Terrier Mix,180
Staffordshire Mix,179
Yorkshire Terrier Mix,178
Domestic Shorthair,177
Chihuahua Longhair Mix,173
Siberian Husky Mix,169
Beagle Mix,164
Miniature Schnauzer Mix,159
Black Mouth Cur Mix,150
Australian Kelpie Mix,140
Anatol Shepherd Mix,138
Chihuahua Shorthair/Dachshund,135
Great Pyrenees Mix,129
American Bulldog Mix,127
Plott Hound Mix,121
Rottweiler Mix,112
Dachshund/Chihuahua Shorthair,104
Rabbit Sh Mix,89
Miniature Pinscher Mix,88
German Shepherd/Labrador Retriever,85
Queensland Heeler Mix,85
American Staffordshire Terrier Mix,83
Labrador Retriever/Pit Bull,81
Chihuahua Shorthair,75
Labrador Retriever,75
German Shepherd,74
Labrador Retriever/German Shepherd,73
Blue Lacy Mix,73
American Pit Bull Terrier Mix,71
Snowshoe Mix,71
Pit Bull,69
American Shorthair Mix,66
Border Terrier Mix,63
Maltese Mix,61
Domestic Medium Hair,60
Manchester Terrier Mix,57
Maine Coon Mix,56
Golden Retriever Mix,54
Basset Hound Mix,53
Cardigan Welsh Corgi Mix,53
Manx Mix,45
Chicken Mix,45
Collie Smooth Mix,43
Dachshund Wirehair Mix,43
Black/Tan Hound Mix,42
Redbone Hound Mix,41
Carolina Dog Mix,40
Border Collie/Labrador Retriever,40
Chow Chow Mix,39
Labrador Retriever/Australian Cattle Dog,39
Chinese Sharpei Mix,39
Dachshund Longhair Mix,37
Toy Poodle Mix,37
Labrador Retriever/Border Collie,37
Rottweiler,36
Siberian Husky,36
Flat Coat Retriever Mix,36
Dachshund,35
Miniature Schnauzer/Miniature Poodle,35
Norfolk Terrier Mix,35
Australian Cattle Dog,35
Boxer,33
Chihuahua Shorthair/Rat Terrier,33
Russian Blue Mix,33
Labrador Retriever/Boxer,33
Rhod Ridgeback Mix,33
Shih Tzu Mix,32
Labrador Retriever/Great Pyrenees,32
Chihuahua Shorthair/Jack Russell Terrier,31
Doberman Pinsch Mix,30
Australian Cattle Dog/Labrador Retriever,30
Siamese,30
Pug Mix,30
Whippet Mix,29
Bull Terrier Mix,29
Soft Coated Wheaten Terrier Mix,27
Maltese,27
Pit Bull/Labrador Retriever,27
Harrier Mix,27
Basenji Mix,27
English Bulldog Mix,26
Mastiff Mix,26
Cocker Spaniel Mix,25
Rat Terrier/Chihuahua Shorthair,25
Jack Russell Terrier,25
Labrador Retriever/Beagle,25
Domestic Longhair,25
Pomeranian Mix,24
Jack Russell Terrier/Chihuahua Shorthair,24
Chihuahua Shorthair/Cardigan Welsh Corgi,24
Great Dane Mix,24
Vizsla Mix,23
Belgian Malinois Mix,23
Pembroke Welsh Corgi Mix,23
Norwich Terrier Mix,22
Maltese/Miniature Poodle,22
Boxer/Pit Bull,22
Dalmatian Mix,21
Boston Terrier Mix,21
Wire Hair Fox Terrier Mix,21
Akita Mix,20
Pharaoh Hound Mix,20
Chihuahua Shorthair/Pug,20
Bruss Griffon Mix,20
Miniature Poodle/Miniature Schnauzer,20
Weimaraner Mix,20
Labrador Retriever/Pointer,19
Labrador Retriever/Doberman Pinsch,19
Labrador Retriever/Australian Shepherd,19
Miniature Poodle,19
Tibetan Spaniel Mix,19
Papillon Mix,19
Boxer/Labrador Retriever,18
Pekingese Mix,18
Miniature Pinscher/Chihuahua Shorthair,18
Labrador Retriever/Chow Chow,18
Labrador Retriever/Anatol Shepherd,17
Standard Schnauzer Mix,17
English Pointer Mix,16
Doberman Pinsch,16
Chihuahua Shorthair/Beagle,16
Bichon Frise Mix,16
Border Collie/Great Pyrenees,16
Parson Russell Terrier Mix,16
Catahoula,16
Shih Tzu,15
German Shorthair Pointer Mix,15
Pointer/Labrador Retriever,15
Shetland Sheepdog Mix,15
Smooth Fox Terrier Mix,15
Labrador Retriever/Chinese Sharpei,15
Pug/Chihuahua Shorthair,15
Great Pyrenees/Labrador Retriever,15
Alaskan Husky Mix,15
Australian Shepherd/Labrador Retriever,15
Beagle/Labrador Retriever,15
Dutch Shepherd Mix,15
Border Collie,14
Persian Mix,14
Yorkshire Terrier,14
Himalayan Mix,14
Greyhound Mix,14
Labrador Retriever/Catahoula,14
Italian Greyhound Mix,14
Labrador Retriever/Dachshund,14
Bulldog Mix,14
Australian Shepherd,14
Cairn Terrier,14
Dogue De Bordeaux Mix,13
Cardigan Welsh Corgi/Chihuahua Shorthair,13
Siberian Husky/German Shepherd,13
Pit Bull/Catahoula,13
Chihuahua Shorthair/Cairn Terrier,13
Pit Bull/Boxer,13
Cairn Terrier/Chihuahua Shorthair,13
Pug/Beagle,13
Shiba Inu Mix,13
Chihuahua Shorthair/Boston Terrier,12
Labrador Retriever/Blue Lacy,12
Chesa Bay Retr Mix,12
Great Pyrenees,12
Rat Terrier,12
Border Collie/German Shepherd,12
Yorkshire Terrier/Chihuahua Shorthair,12
Dachshund Wirehair/Miniature Poodle,11
Bluetick Hound Mix,11
Staffordshire,11
American Bulldog/Pit Bull,11
Beagle/Chihuahua Shorthair,11
Chihuahua Shorthair/Miniature Pinscher,11
Plott Hound/Labrador Retriever,11
Yorkshire Terrier/Miniature Poodle,11
Parakeet Mix,11
Havanese Mix,11
Feist Mix,11
Chihuahua Shorthair/Yorkshire Terrier,11
Beagle/German Shepherd,11
Miniature Schnauzer,11
Pit Bull/Pointer,11
Dachshund/Beagle,11
Anatol Shepherd,11
German Shepherd/Siberian Husky,11
Labrador Retriever/Rottweiler,11
Schnauzer Giant Mix,11
Anatol Shepherd/Labrador Retriever,11
Great Pyrenees/Border Collie,11
Scottish Terrier Mix,10
Australian Cattle Dog/German Shepherd,10
Australian Cattle Dog/Border Collie,10
Beagle,10
Bloodhound Mix,10
Schipperke Mix,10
Australian Cattle Dog/Boxer,10
Basset Hound/Labrador Retriever,10
German Shepherd/Chow Chow,10
Rottweiler/German Shepherd,10
Pit Bull/Australian Cattle Dog,10
Australian Terrier Mix,10
West Highland Mix,10
Ferret Mix,10
Rottweiler/Labrador Retriever,9
Great Pyrenees/American Bulldog,9
Leonberger Mix,9
Pbgv Mix,9
English Coonhound Mix,9
Beagle/Dachshund,9
Australian Cattle Dog/Beagle,9
Bullmastiff Mix,9
Cairn Terrier/Yorkshire Terrier,9
Swedish Vallhund Mix,9
Dachshund/Manchester Terrier,9
Glen Of Imaal Mix,9
Collie Rough Mix,9
Lhasa Apso Mix,9
Chihuahua Shorthair/Italian Greyhound,9
Australian Cattle Dog/Pit Bull,9
Beauceron Mix,9
Dogo Argentino Mix,9
Toy Fox Terrier Mix,9
Siberian Husky/Labrador Retriever,9
German Shepherd/Australian Cattle Dog,9
Catahoula/Plott Hound,9
Ferret,9
Catahoula/Labrador Retriever,9
Finnish Spitz Mix,9
Australian Kelpie,8
Labrador Retriever/Jack Russell Terrier,8
Miniature Pinscher,8
Chicken,8
Australian Shepherd/Border Collie,8
German Shepherd/Rottweiler,8
Beagle/Pug,8
Tibetan Terrier Mix,8
Toy Poodle,8
Border Terrier/Chihuahua Shorthair,8
Labrador Retriever/Golden Retriever,8
Ragdoll Mix,8
Rex Mix,8
Chihuahua Longhair,8
Pointer/Border Collie,8
Balinese Mix,8
Labrador Retriever/Basset Hound,8
Dachshund/Rat Terrier,8
Cocker Spaniel/Labrador Retriever,8
American Staffordshire Terrier,8
Landseer Mix,8
Labrador Retriever/Plott Hound,7
St. Bernard Smooth Coat Mix,7
Cavalier Span Mix,7
Chihuahua Shorthair/Manchester Terrier,7
Duck Mix,7
Patterdale Terr Mix,7
American Bulldog,7
Bernese Mountain Dog Mix,7
Great Dane/Labrador Retriever,7
Jack Russell Terrier/Beagle,7
Lhasa Apso/Miniature Poodle,7
Dachshund Wirehair/Chihuahua Shorthair,7
Boxer/Beagle,7
Border Terrier/Yorkshire Terrier,7
American Eskimo Mix,7
Australian Cattle Dog/Australian Shepherd,7
Chinese Sharpei/Labrador Retriever,7
Basset Hound,7
Boerboel Mix,7
Siberian Husky/Australian Cattle Dog,7
Rhod Ridgeback/Labrador Retriever,7
Jack Russell Terrier/Dachshund,7
Miniature Poodle/Maltese,7
Yorkshire Terrier/Miniature Schnauzer,6
Angora Mix,6
Collie Smooth/Labrador Retriever,6
Boxer/Catahoula,6
Boston Terrier/Chihuahua Shorthair,6
Plott Hound,6
Cocker Spaniel/Miniature Poodle,6
Podengo Pequeno Mix,6
Lionhead Mix,6
Labrador Retriever/Siberian Husky,6
Manchester Terrier/Dachshund,6
Golden Retriever/Labrador Retriever,6
Field Spaniel Mix,6
Dalmatian/Labrador Retriever,6
American Curl Shorthair Mix,6
Treeing Cur Mix,6
Dachshund/Labrador Retriever,6
Pointer/Pit Bull,6
Irish Terrier Mix,6
Dachshund Wirehair/Border Terrier,6
German Shepherd/Mastiff,6
Catahoula/Pointer,6
Alaskan Malamute Mix,6
Japanese Bobtail Mix,6
Miniature Schnauzer/Yorkshire Terrier,6
German Shepherd/Doberman Pinsch,6
Chihuahua Shorthair/Pomeranian,6
Labrador Retriever/Australian Kelpie,6
English Spot Mix,6
Queensland Heeler,6
Flat Coat Retriever/Papillon,6
Dachshund/Pit Bull,6
Pembroke Welsh Corgi,6
Pbgv,6
Brittany Mix,6
Blue Lacy,6
Welsh Terrier Mix,6
Labrador Retriever/Collie Smooth,6
Golden Retriever/Chow Chow,5
Beagle/Basset Hound,5
Border Collie/Australian Shepherd,5
Boxer/Australian Cattle Dog,5
Miniature Poodle/Dachshund,5
Jack Russell Terrier/Australian Cattle Dog,5
Presa Canario Mix,5
Persian,5
Airedale Terrier Mix,5
Mastiff/Chinese Sharpei,5
Border Collie/Bull Terrier,5
German Shepherd/Catahoula,5
Pit Bull/Dachshund,5
Silky Terrier Mix,5
Australian Shepherd/Chihuahua Shorthair,5
German Shepherd/Australian Shepherd,5
American Staffordshire Terrier/Labrador Retriever,5
Dachshund/Jack Russell Terrier,5
Treeing Walker Coonhound Mix,5
Canaan Dog Mix,5
English Bulldog,5
Chihuahua Shorthair/Border Terrier,5
Anatol Shepherd/Great Pyrenees,5
Standard Poodle Mix,5
Australian Cattle Dog/Pointer,5
German Shepherd/Pembroke Welsh Corgi,5
German Shepherd/Golden Retriever,5
Guinea Pig Mix,5
Chow Chow/German Shepherd,5
Yorkshire Terrier/Rat Terrier,5
Labrador Retriever/Greyhound,5
Yorkshire Terrier/Cairn Terrier,5
Siamese/Domestic Shorthair,5
Anatol Shepherd/Border Collie,5
English Foxhound Mix,5
Affenpinscher Mix,5
Catahoula/Pit Bull,5
Cardigan Welsh Corgi/Australian Cattle Dog,5
Labrador Retriever/Flat Coat Retriever,5
Beagle/Boxer,5
Cockatiel Mix,5
German Shepherd/Great Pyrenees,4
Black Mouth Cur/Pit Bull,4
Keeshond Mix,4
Hamster,4
Domestic Longhair/Persian,4
Labrador Retriever/Staffordshire,4
Chinese Crested Mix,4
Old English Bulldog Mix,4
Pit Bull/Basset Hound,4
Pixiebob Shorthair Mix,4
Newfoundland Mix,4
Pomeranian/Chihuahua Longhair,4
Kuvasz Mix,4
Manchester Terrier/Beagle,4
Siberian Husky/Border Collie,4
American Bulldog/Labrador Retriever,4
Cardigan Welsh Corgi/Pointer,4
German Shepherd/Boxer,4
Catahoula/Australian Cattle Dog,4
Pointer/Catahoula,4
Cardigan Welsh Corgi,4
Great Pyrenees/Australian Cattle Dog,4
Basset Hound/Beagle,4
Carolina Dog,4
Pointer/Australian Cattle Dog,4
German Pinscher Mix,4
Rat Terrier/Cardigan Welsh Corgi,4
Labrador Retriever/Labrador Retriever,4
Yorkshire Terrier/Border Terrier,4
Snowshoe,4
Rabbit Sh,4
Turtle Mix,4
Irish Wolfhound Mix,4
Dachshund Longhair/Chihuahua Shorthair,4
Vizsla,4
Bantam Mix,4
Labrador Retriever/Queensland Heeler,4
Labrador Retriever/Rhod Ridgeback,4
Miniature Pinscher/Pug,4
Norwich Terrier/Yorkshire Terrier,4
Cold Water,4
Australian Cattle Dog/Cardigan Welsh Corgi,4
Labrador Retriever/Standard Poodle,4
Chow Chow,4
Rat Mix,4
Black Mouth Cur,4
Labrador Retriever/Great Dane,4
Cairn Terrier/Dachshund,4
Rhod Ridgeback,4
Wire Hair Fox Terrier/Chihuahua Shorthair,4
Basenji/Chihuahua Shorthair,4
Border Collie/Chow Chow,4
French Bulldog Mix,4
Labrador Retriever/Whippet,4
Wire Hair Fox Terrier/Beagle,4
Parakeet,4
Harrier,4
Basset Hound/Australian Cattle Dog,4
Catahoula/Cardigan Welsh Corgi,4
Tonkinese Mix,4
Dutch Shepherd,4
German Shepherd/Border Collie,4
Maine Coon,4
Shiba Inu/Australian Kelpie,4
Australian Shepherd/Cardigan Welsh Corgi,4
Chow Chow/Pit Bull,4
Mastiff/Boxer,4
Border Collie/Australian Cattle Dog,4
Black Mouth Cur/Catahoula,4
Maltese/Yorkshire Terrier,4
Labrador Retriever/Standard Schnauzer,4
Doberman Pinsch/Labrador Retriever,4
Cymric Mix,4
Miniature Poodle/Labrador Retriever,3
Miniature Schnauzer/Cairn Terrier,3
Staffordshire/Labrador Retriever,3
Beagle/Pointer,3
Miniature Poodle/Australian Cattle Dog,3
Dachshund Longhair,3
English Shepherd Mix,3
Chihuahua Shorthair/Wire Hair Fox Terrier,3
Pomeranian,3
Basenji/Australian Cattle Dog,3
Golden Retriever/Great Pyrenees,3
Flat Coat Retriever/German Shepherd,3
Hotot Mix,3
Cocker Spaniel,3
Californian,3
Dachshund Wirehair/Miniature Schnauzer,3
Bichon Frise/Toy Poodle,3
Australian Cattle Dog/Staffordshire,3
Bengal Mix,3
Jack Russell Terrier/Pembroke Welsh Corgi,3
Australian Shepherd/Australian Cattle Dog,3
Border Terrier,3
Miniature Poodle/Yorkshire Terrier,3
Finnish Spitz,3
Pug/Labrador Retriever,3
Nova Scotia Duck Tolling Retriever Mix,3
German Shepherd/Black Mouth Cur,3
Catahoula/Chinese Sharpei,3
West Highland,3
Chihuahua Shorthair/Whippet,3
Nova Scotia Duck Tolling Retriever,3
Chow Chow/Labrador Retriever,3
Dachshund/Chihuahua Longhair,3
Rottweiler/Pit Bull,3
Dachshund/Miniature Pinscher,3
Whippet/Labrador Retriever,3
Pit Bull/Bulldog,3
Chihuahua Shorthair/Pembroke Welsh Corgi,3
Australian Cattle Dog/Plott Hound,3
Pointer,3
British Shorthair Mix,3
Great Dane,3
Chihuahua Shorthair/Dachshund Wirehair,3
Dachshund/Pug,3
Norwegian Forest Cat Mix,3
Australian Kelpie/Rat Terrier,3
Australian Shepherd/Plott Hound,3
Boykin Span Mix,3
Flat Coat Retriever/Labrador Retriever,3
Siamese/Japanese Bobtail,3
Jack Russell Terrier/Yorkshire Terrier,3
Lop-Holland Mix,3
Dachshund/Australian Cattle Dog,3
Border Collie/Pit Bull,3
Catahoula/English Coonhound,3
