monthyear,Count
2013-10,43
2013-11,24
2013-12,26
2014-01,23
2014-02,20
2014-03,23
2014-04,32
2014-05,35
2014-06,49
2014-07,48
2014-08,45
2014-09,38
2014-10,38
2014-11,41
2014-12,41
2015-01,23
2015-02,24
2015-03,30
2015-04,25
2015-05,63
2015-06,83
2015-07,51
2015-08,40
2015-09,27
2015-10,29
2015-11,21
2015-12,12
2016-01,19
2016-02,13
2016-03,13
2016-04,21
2016-05,41
2016-06,31
2016-07,14
2016-08,19
2016-09,17
2016-10,24
2016-11,19
2016-12,6
2017-01,13
2017-02,11
2017-03,12
2017-04,18
2017-05,25
2017-06,46
2017-07,24
2017-08,25
2017-09,25
2017-10,25
2017-11,15
2017-12,5
