monthyear,Count
2013-10,70
2013-11,53
2013-12,61
2014-01,45
2014-02,47
2014-03,59
2014-04,34
2014-05,54
2014-06,50
2014-07,67
2014-08,43
2014-09,46
2014-10,65
2014-11,60
2014-12,47
2015-01,36
2015-02,47
2015-03,43
2015-04,44
2015-05,60
2015-06,44
2015-07,41
2015-08,28
2015-09,25
2015-10,16
2015-11,14
2015-12,22
2016-01,11
2016-02,16
2016-03,27
2016-04,14
2016-05,19
2016-06,20
2016-07,12
2016-08,9
2016-09,12
2016-10,11
2016-11,14
2016-12,14
2017-01,7
2017-02,8
2017-03,3
2017-04,7
2017-05,9
2017-06,12
2017-07,11
2017-08,5
2017-09,11
2017-10,10
2017-11,6
2017-12,1
